	site	zone	limpt	limpt100	sqlim100
1	A	SZ(-TR)	0.16	16	4
2	A	SZ(-TR)	0.11	11	3.317
3	A	SZ(-TR)	0.1	10	3.162
4	A	SZ(-TR)	0.16	16	4
5	A	SZ(-TR)	0.15	15	3.873
6	A	SZ(+TR)	0.12	12	3.464
7	A	SZ(+TR)	0	0	0
8	A	SZ(+TR)	0.03	3	1.732
9	A	SZ(+TR)	0.05	5	2.236
10	A	SZ(+TR)	0.43	43	6.557
11	A	MZ	0	0	0
12	A	MZ	0	0	0
13	A	MZ	0.17	17	4.123
14	A	MZ	0	0	0
15	A	MZ	0	0	0
16	A	LZ	0	0	0
17	A	LZ	0	0	0
18	A	LZ	0	0	0
19	A	LZ	0	0	0
20	A	LZ	0.33	33	5.745
21	B	SZ(-TR)	0.1	10	3.162
22	B	SZ(-TR)	0.12	12	3.464
23	B	SZ(-TR)	0.17	17	4.123
24	B	SZ(-TR)	0.08	8	2.828
25	B	SZ(-TR)	0.08	8	2.828
26	B	SZ(+TR)	0.14	14	3.742
27	B	SZ(+TR)	0.16	16	4
28	B	SZ(+TR)	0.07	7	2.646
29	B	SZ(+TR)	0.15	15	3.873
30	B	SZ(+TR)	0.02	2	1.414
31	B	MZ	0	0	0
32	B	MZ	0.25	25	5
33	B	MZ	0.5	50	7.071
34	B	MZ	0.17	17	4.123
35	B	MZ	0.5	50	7.071
36	B	LZ	0	0	0
37	B	LZ	0	0	0
38	B	LZ	0.08	8	2.828
39	B	LZ	0	0	0
40	B	LZ	0	0	0
